Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
1,12626,"Henry","Derrick",RB,TEN,305.8,391.2,6
2,14802,"Taylor","Jonathan",RB,IND,303.5,388.7,14
3,13128,"Cook","Dalvin",RB,MIN,272.5,355.9,7
4,13608,"Penny","Rashaad",RB,SEA,260.3,343.0,11
5,13404,"Ekeler","Austin",RB,LAC,258.0,340.6,8
6,13146,"Conner","James",RB,ARI,251.8,330.8,13
7,13132,"Kamara","Alvin",RB,NOS,248.3,327.2,14
8,13164,"Kupp","Cooper",WR,LAR,254.3,317.3,7
9,13610,"Chubb","Nick",RB,CLE,237.6,315.9,9
10,13129,"Fournette","Leonard",RB,TBB,226.2,304.0,11
11,13131,"Mixon","Joe",RB,CIN,225.0,302.7,10
12,13130,"McCaffrey","Christian",RB,CAR,217.5,294.8,13
13,14071,"Montgomery","David",RB,CHI,214.7,291.9,14
14,14836,"Jefferson","Justin",WR,MIN,226.3,289.3,7
15,14852,"Gibson","Antonio",RB,WAS,208.6,285.4,14
16,13632,"Lazard","Allen",WR,GBP,221.7,284.7,14
17,13319,"Jones","Aaron",RB,GBP,207.8,284.6,14
18,14136,"Samuel","Deebo",WR,SFO,219.7,282.7,9
19,11675,"Adams","Davante",WR,LVR,216.8,279.8,6
20,14073,"Jacobs","Josh",RB,LVR,203.2,279.7,6
21,14075,"Harris","Damien",RB,NEP,198.7,275.1,10
22,15254,"Harris","Najee",RB,PIT,198.4,274.7,9
23,15263,"Mitchell","Elijah",RB,SFO,196.2,272.4,9
24,15281,"Chase","Ja'Marr",WR,CIN,207.7,270.7,10
25,12625,"Elliott","Ezekiel",RB,DAL,193.8,270.0,9
26,14797,"Swift","D'Andre",RB,DET,192.4,268.4,6
27,14080,"Singletary","Devin",RB,BUF,192.3,268.3,7
28,11671,"Evans","Mike",WR,TBB,204.3,267.3,11
29,14832,"Lamb","CeeDee",WR,DAL,201.3,264.3,9
30,11244,"Kelce","Travis",TE,KCC,213.8,257.6,8
31,11938,"Thielen","Adam",WR,MIN,185.7,248.7,7
32,13589,"Allen","Josh",QB,BUF,427.8,248.2,7
33,12186,"Diggs","Stefon",WR,BUF,183.1,246.1,7
34,12801,"Hill","Tyreek",WR,MIA,179.0,241.9,11
35,11222,"Allen","Keenan",WR,LAC,176.6,239.6,8
36,14974,"Mooney","Darnell",WR,CHI,171.9,234.9,14
37,14102,"Metcalf","DK",WR,SEA,170.7,233.6,11
38,14845,"Davis","Gabriel",WR,BUF,168.5,231.5,7
39,12187,"Lockett","Tyler",WR,SEA,167.2,230.2,11
40,13116,"Mahomes","Patrick",QB,KCC,406.6,229.1,8
41,15253,"Etienne","Travis",RB,JAC,190.0,228.0,11
42,14842,"Pittman","Michael",WR,IND,164.7,227.7,14
43,14208,"Johnson","Diontae",WR,PIT,161.2,224.2,9
44,11674,"Cooks","Brandin",WR,HOU,159.6,222.6,6
45,15256,"Williams","Javonte",RB,DEN,178.2,217.3,9
46,14800,"Dobbins","J.K.",RB,BAL,177.8,217.0,10
47,14779,"Herbert","Justin",QB,LAC,389.5,213.7,8
48,13671,"Andrews","Mark",TE,BAL,164.0,207.8,10
49,14835,"Higgins","Tee",WR,CIN,155.8,206.7,10
50,13163,"Godwin","Chris",WR,TBB,155.0,206.0,11
51,13154,"Williams","Mike",WR,LAC,154.2,205.3,8
52,13156,"Smith-Schuster","JuJu",WR,KCC,154.0,205.0,8
53,11228,"Woods","Robert",WR,TEN,147.4,198.9,6
54,13635,"Moore","D.J.",WR,CAR,146.6,198.1,13
55,7836,"Rodgers","Aaron",QB,GBP,358.2,195.8,14
56,13668,"Chark","D.J.",WR,DET,142.6,194.3,6
57,14104,"Brown","A.J.",WR,PHI,142.1,193.8,7
58,14056,"Murray","Kyler",QB,ARI,353.1,191.0,13
59,12176,"Parker","DeVante",WR,NEP,139.5,187.3,10
60,13153,"Davis","Corey",WR,NYJ,138.6,186.4,10
